#{"t_start": 1765431048.1975052, "env_id": "group5-env-v0"}
r,l,t
7.206445,14,234.878666
9.122285,20,235.727658
4.203328,13,236.268287
0.499594,7,236.543453
2.865408,13,237.078674
4.841895,14,237.654277
9.607509,21,238.492266
5.385707,14,239.057478
0.701505,5,239.294816
0.499736,5,239.52144
0.868856,5,239.704882
0.88486,6,239.915395
-0.478629,3,240.028414
0.303692,5,240.21399
1.832963,11,240.609878
1.545571,9,240.984338
-0.488349,3,241.11149
4.174988,16,241.699199
1.050152,5,241.89269
0.450774,5,242.124623
5.454365,17,242.723839
0.394123,4,242.887083
-0.322179,3,242.989553
3.043465,9,243.385185
-0.244204,3,243.493114
5.655982,16,244.121278
-1.012521,2,244.185901
-0.564294,3,244.312723
-0.19901,3,244.450899
-0.337801,3,244.575776
-0.189294,6,244.834797
1.616116,7,245.127016
3.964158,16,245.776555
-0.888136,2,245.852773
-1.210632,1,245.899339
-1.361094,1,245.935177
9.783956,18,246.686056
10.743101,20,247.511041
10.428013,17,248.206993
-0.736104,2,248.286698
2.658584,8,248.60706
0.476266,7,248.894483
-1.002076,2,248.970134
0.601246,6,249.199996
5.574091,17,249.788964
0.305095,4,249.961684
1.494212,10,250.455427
7.856036,18,251.255881
-0.666405,3,251.36115
3.863774,10,251.7543
1.961013,8,252.111335
10.699269,20,252.813674
9.903921,20,253.555769
2.95004,10,253.943489
10.234178,18,254.749871
1.618209,6,254.989873
5.143454,12,255.450164
-1.018523,2,255.53945
2.282862,8,255.847643
0.020238,5,256.037385
1.976023,7,256.281287
-0.486979,3,256.421084
1.025111,6,256.647497
0.344154,5,256.865226
-0.711149,2,256.94138
10.809799,18,257.638042
4.583936,15,258.167827
0.06663,5,258.369121
-0.011475,5,258.557654
9.772985,20,267.221356
11.159389,17,267.898445
-0.065432,5,268.142806
-0.843363,3,268.262718
1.234422,6,268.459859
1.79542,8,268.771393
10.067396,21,269.63016
0.897199,5,269.81085
-0.859471,2,269.89048
9.2e-05,3,270.014642
0.300997,4,270.181815
3.453705,9,270.491985
-0.633169,2,270.560421
-0.667123,3,270.67955
0.067548,4,270.842042
-0.839042,2,270.914669
1.064248,6,271.123173
9.389389,21,271.934899
5.290796,13,272.405859
1.70901,10,272.811622
9.230282,21,273.546424
0.578604,5,273.763723
0.004568,4,273.925226
0.255819,6,274.152197
2.693226,8,274.458238
2.505173,10,274.896978
10.110088,21,275.810421
0.497658,7,276.076138
-1.346672,1,276.121693
0.46205,6,276.331621
2.147045,8,276.65852
-0.433042,4,276.80841
2.074063,7,277.083575
-0.854346,2,277.165209
-0.790322,4,277.360852
1.39377,9,277.70848
-0.084457,3,277.823094
-0.855652,2,277.898163
-0.242081,3,278.008852
1.624306,6,278.235581
-0.730951,2,278.344009
6.151432,21,279.213002
1.356689,8,279.524607
0.787004,4,279.685829
-0.72742,2,279.768437
-0.880037,2,279.841033
2.645405,11,280.343086
-0.18204,3,280.481266
7.68844,17,281.093174
1.927238,7,281.348259
1.284737,6,281.560238
7.547308,19,282.218321
-0.19534,3,282.347458
1.032671,7,282.586217
1.000071,5,282.763901
0.710186,6,282.994856
0.396495,6,283.244502
-0.849651,2,283.318603
-0.737943,2,283.398761
10.941894,20,284.275489
-0.621376,4,284.434001
4.74278,17,284.994364
-0.137322,4,285.135753
9.633823,23,285.979938
0.418643,4,286.145621
-0.891162,2,286.2221
5.247467,14,286.714931
0.253821,5,286.889461
1.690625,6,287.081857
1.69761,8,287.38634
0.083228,6,287.623774
-0.699307,2,287.708762
0.896779,9,288.104045
0.343873,5,288.311281
0.673326,7,288.582697
-0.750758,2,288.662798
0.789948,5,288.853062
2.275029,8,289.15164
-0.394449,3,289.274843
-0.663199,2,289.35709
3.467027,9,289.775182
9.288931,21,290.546458
0.199319,4,290.670765
0.875985,4,290.811537
9.567727,21,291.769121
-1.156594,1,291.809035
-1.360794,1,291.848575
11.42355,18,292.499151
0.316286,4,292.673107
0.514867,6,292.934696
1.317698,6,293.149218
0.039328,4,293.305477
0.70304,5,293.482415
0.456927,8,293.734708
-0.321143,3,293.847002
1.852224,7,294.112012
-1.079904,1,294.148049
0.395921,4,294.292179
0.883118,6,294.534949
-0.857007,2,294.622234
2.183147,7,294.908649
10.21637,19,295.590593
0.162743,8,295.859699
-0.241977,3,295.962797
-0.887162,2,296.044262
-0.476342,4,296.211793
0.894385,6,296.452725
0.293321,6,296.702611
0.787932,5,296.890875
-0.75918,2,296.96265
-0.092708,5,297.122013
0.430969,4,297.252333
-1.00117,2,297.338925
1.492827,7,297.600937
0.067476,4,297.742649
-1.207798,1,297.788938
0.463078,6,297.99291
1.251552,9,298.358593
0.138067,4,298.526528
3.719799,14,299.069959
0.115701,6,299.309622
0.051404,4,299.473348
0.592783,7,299.749423
0.330459,6,300.006803
0.212481,6,300.248497
1.063914,6,300.499118
-0.857547,2,300.564369
6.640011,14,301.070507
-0.475009,3,301.172119
-0.86152,2,301.243194
0.98523,5,301.426899
-0.429433,4,301.589424
-1.006886,2,301.659504
-0.838682,3,301.787309
4.205798,13,302.29262
0.294768,5,302.484217
2.630103,8,302.816977
6.046109,19,303.525328
-1.172549,2,303.599036
0.519383,5,303.804873
5.306611,15,304.437428
1.485322,8,304.700419
0.067987,4,304.833037
1.345647,6,305.04749
-0.85168,2,305.128074
5.295626,14,305.704555
1.193658,9,306.059152
6.645384,19,306.679496
0.221435,4,306.825765
0.98217,6,307.037988
1.74587,9,307.407505
-0.148457,5,307.607327
10.701505,21,308.440667
0.34782,4,308.593558
-0.734191,2,308.666625
1.345939,6,308.927609
6.091822,18,309.621576
-0.847155,2,309.687663
10.659793,18,310.376086
-0.328875,3,310.506351
-0.099668,4,310.65603
10.860204,19,311.44209
1.101685,7,311.693192
0.167578,6,311.910128
8.676763,17,312.460492
-0.438739,4,312.619017
2.25525,8,312.942878
9.888485,19,313.599961
-0.218165,5,313.763066
-0.638424,2,313.849571
1.710558,8,314.140115
4.011491,13,314.627985
0.329095,6,314.901805
-1.107583,2,314.986432
-0.852502,2,315.064014
-1.166425,1,315.100628
2.192717,7,315.391525
10.521616,20,316.049767
-0.696633,2,316.134239
5.361198,12,316.679929
11.059159,21,317.505152
0.949685,6,317.768528
-0.975747,3,317.880178
-0.73126,2,317.958774
-0.430679,5,318.167318
9.97495,18,318.808499
1.748893,9,319.162594
-0.850585,2,319.244238
-0.850309,2,319.309324
0.465339,6,319.52633
-0.857412,2,319.604512
9.454175,20,320.48685
0.061094,4,320.630382
4.028355,11,321.019095
1.053203,6,321.207503
0.065001,4,321.34824
-1.364693,1,321.3895
-0.430871,2,321.471087
1.138116,5,321.654052
0.580244,5,321.856464
0.177872,4,322.039092
-0.084071,3,322.16642
8.92831,18,322.831275
10.208251,20,323.53723
-1.608416,1,323.58344
1.88068,10,323.969858
9.674547,22,324.707585
1.971262,8,324.975153
-0.048357,6,325.227685
1.809651,9,325.635252
-0.486881,4,325.796412
-0.186187,3,325.892006
4.508482,14,326.380701
9.157153,22,327.192393
0.789693,5,327.373047
-1.016652,2,327.476807
8.236852,19,328.16013
0.671746,7,328.427547
1.951358,6,328.62293
-0.354165,4,328.780652
-0.971251,2,328.857771
0.695938,9,329.220417
0.831674,5,329.441319
1.96952,10,329.80196
10.643526,21,330.602373
0.269247,5,330.880787
